userId,itemId,rating
125328,8961,4.0
79268,4226,4.0
79268,1732,5.0
152978,783,4.0
171648,141,4.0
227648,3578,1.5
16498,318,4.0
16498,296,4.0
166008,1610,3.0
159588,593,3.0
159588,318,4.0
120238,288,4.0
93998,293,4.5
130768,802,3.0
130768,648,3.0
130768,494,4.0
130768,58,4.0
178358,1923,5.0
178358,778,4.5
178358,25,3.0
178358,6,5.0
121578,1127,4.0
121578,2701,2.0
121578,223,5.0
121578,858,5.0
243538,592,3.0
243538,296,5.0
243538,316,3.0
171548,593,4.0
171548,318,5.0
171548,592,2.0
171548,329,5.0
120718,1265,3.5
120718,296,5.0
120718,58559,4.5
120718,4973,4.5
2378,466,3.5
2378,1252,0.5
2378,4034,4.0
2378,58,1.0
11418,553,2.5
11418,3,2.5
11418,1584,4.0
11418,104,2.0
165718,380,3.0
165718,593,5.0
165718,288,3.0
78488,161,4.0
78488,595,5.0
78488,380,4.0
78488,316,3.0
170998,4993,5.0
170998,4896,5.0
170998,1127,5.0
170998,4995,5.0
170998,3578,5.0
170998,780,5.0
225148,5,5.0
225148,780,5.0
225148,788,5.0
225148,25,5.0
225148,653,5.0
225148,708,5.0
225148,778,2.0
225148,648,5.0
103768,3578,5.0
103768,1265,5.0
103768,4025,5.0
103768,597,5.0
103768,527,4.0
103768,2324,5.0
103768,58559,5.0
103768,2692,5.0
35448,8368,3.0
35448,8874,4.0
35448,1954,2.5
35448,4896,3.0
35448,858,5.0
35448,4993,5.0
35448,40815,3.0
35448,318,5.0
111838,196,5.0
111838,1376,5.0
111838,1673,5.0
111838,158,5.0
111838,1358,5.0
185168,2959,5.0
185168,8961,2.0
185168,1608,4.0
185168,6373,2.5
185168,163,4.5
185168,1690,4.0
120918,161,5.0
120918,165,4.0
120918,435,2.0
120918,185,5.0
120918,225,4.0
120918,150,5.0
80738,296,4.0
