adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies
False,98000000,Action,Adventure,1408,tt0112760,en,Cutthroat,Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Le
False,4000000,Crime,Comedy,5,tt0113101,en,Four,Rooms,It's,Ted,the,Bellhop's
False,0,Music,Drama,Family,2054,tt0113862,en,Mr.,Holland's,Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117
False,25000000,Romance,Drama,Comedy,1909,tt0112883,en,Don,Juan,DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",7.438934
False,60000000,Horror,Romance,628,tt0110148,en,Interview,with,the,Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205
False,11000000,Adventure,Action,Science,Fiction,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star,Wars,Princess
False,0,Drama,527,tt0110729,en,Once,Were,Warriors,"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",4.025276,/8QF48QS5lvtrhOclt22RFz3bSQm.jpg,Avalon
False,0,Drama,Mystery,Romance,110,tt0111495,fr,Trois,couleurs,:,Rouge,Red
False,3000000,Drama,Comedy,Romance,236,tt0110598,en,Muriel's,Wedding,"Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious.",5.254847,/qoZShHm8QTrHAR80LypwI0SYp8I.jpg
